Country/Territory,UN Region,IMF[4][5],IMF[4][5],World Bank[6],World Bank[6],United Nations[7],United Nations[7]
Country/Territory,UN Region,Estimate,Year,Estimate,Year,Estimate,Year
-,-,-,-,-,-,-,-
Rwanda,Africa,970,2023,822,2021,822,2021
Syria,Asia,—,—,533,2020,925,2021
Burkina Faso,Africa,900,2023,893,2021,893,2021
Mali,Africa,889,2023,874,2021,875,2021
Gambia,Africa,861,2023,772,2021,772,2021
Liberia,Africa,805,2023,676,2021,471,2021
Eritrea,Africa,715,2023,644,2011,623,2021
DR Congo,Africa,695,2023,577,2021,551,2021
Chad,Africa,667,2023,686,2021,955,2021
North Korea,Asia,—,—,—,—,654,2021
Niger,Africa,613,2023,591,2021,591,2021
Mozambique,Africa,587,2023,492,2021,492,2021
Yemen,Asia,573,2023,702,2018,302,2021
Somalia,Africa,544,2023,447,2021,447,2021
Madagascar,Africa,536,2023,501,2021,500,2021
Central African Republic,Africa,534,2023,461,2021,461,2021
Malawi,Africa,496,2023,635,2021,613,2021
South Sudan,Africa,467,2023,1072,2015,400,2021
Sierra Leone,Africa,415,2023,480,2021,505,2021
Afghanistan,Asia,611,2020,369,2021,373,2021
Burundi,Africa,249,2023,222,2021,311,2021
